Recipe Id,Step Count,Message,Active time,Passive time
pork_vindaloo,1,"Soak the dried red chilies in a little vinegar. Grind them with the garlic, ginger, and all the whole spices into a fine, smooth paste, using the vinegar to grind.",1200,-1
pork_vindaloo,2,"In a large bowl, marinate the pork cubes thoroughly with this vindaloo paste. Cover and refrigerate for at least 24 hours.",-1,86400
pork_vindaloo,3,"In a heavy-bottomed pot, sauté the chopped onions until golden brown.",600,-1
pork_vindaloo,4,Add the marinated pork to the pot and sear on all sides.,900,-1
pork_vindaloo,5,"Add about a cup of water, cover, and let it slow-cook on low heat for 1 to 1.5 hours, or until the pork is very tender and the gravy is thick. Serve with Goan bread (pao).",4500,-1
lapsi,1,"In a heavy-bottomed pan, heat the ghee and roast the cracked wheat on low heat until it is fragrant and golden brown.",480,-1
lapsi,2,"Carefully add hot water to the pan. Bring to a boil, then reduce the heat, cover, and cook for 15-20 minutes until the daliya is soft and has absorbed the water.",1200,-1
lapsi,3,Add the grated jaggery and cardamom powder. Stir well and cook for another 5 minutes until the jaggery has melted and the mixture thickens.,300,-1
paniya,1,"In a bowl, knead the maize flour with hot water and salt to form a firm but pliable dough.",480,-1
paniya,2,"Divide the dough into equal portions. Take one portion and flatten it into a thick, round shape on one half of a large leaf.",300,-1
paniya,3,Fold the other half of the leaf over to completely encase the dough.,60,-1
paniya,4,"Carefully place the leaf packet directly on slow-burning embers or a very hot, dry griddle (tawa). Cook on low heat for 15-20 minutes, flipping once, until the leaf is charred and the inside is cooked through.",1200,-1
rabdi_maize,1,Bring the water to a boil in a pot.,300,-1
rabdi_maize,2,"Slowly add the ground maize to the boiling water, whisking continuously to prevent lumps.",120,-1
rabdi_maize,3,"Reduce the heat to low and simmer, stirring occasionally, for 15-20 minutes until the maize is cooked and a thick porridge is formed.",1200,-1
rabdi_maize,4,Remove from heat. Stir in the buttermilk and salt just before serving. Serve warm.,120,-1
kheer,1,Bring the milk to a boil in a heavy-bottomed pan.,480,-1
kheer,2,"Add the soaked and drained rice. Reduce heat and simmer, stirring frequently to prevent sticking, for about 25-30 minutes until the rice is completely soft and the mixture has thickened.",1800,-1
kheer,3,Add sugar and crushed cardamom. Cook for another 5-10 minutes until the sugar has dissolved completely.,600,-1
kheer,4,Garnish with nuts and serve warm or chilled.,60,-1
bamboo_shoot_curry,1,Heat mustard oil in a pan. Add mustard seeds and let them crackle.,180,-1
bamboo_shoot_curry,2,Add chopped garlic and sauté until fragrant.,120,-1
bamboo_shoot_curry,3,"Add the processed bamboo shoots, turmeric powder, and salt. Stir well.",300,-1
bamboo_shoot_curry,4,"Cover the pan and cook on low heat for 20-25 minutes, stirring occasionally, until the bamboo shoots are tender. Add a splash of water if it becomes too dry. Serve with rice.",1500,-1
bisi_bele_bath,1,"In a pressure cooker, cook the rice and toor dal together with turmeric until they are very soft and mushy.",1500,-1
bisi_bele_bath,2,"In a separate large pot, boil the mixed vegetables in water until they are tender.",900,-1
bisi_bele_bath,3,Add the cooked rice-dal mixture to the pot with the vegetables. Mix well.,180,-1
bisi_bele_bath,4,"Stir in the tamarind pulp, jaggery, Bisi Bele Bath spice powder, and salt. Add water to achieve a thick, porridge-like consistency and simmer for 10 minutes.",600,-1
bisi_bele_bath,5,Prepare a tempering by heating ghee and frying mustard seeds and cashew nuts. Pour this over the rice mixture. Serve hot with a dollop of ghee.,240,-1
wild_tuber_curry,1,"Ensure the wild tubers are properly identified and processed to remove any toxins, following traditional knowledge. This may involve boiling and draining the water multiple times.",900,-1
wild_tuber_curry,2,"In a pot, combine the processed and cubed tubers with turmeric powder, chili powder, and salt. Add enough water to cover.",180,-1
wild_tuber_curry,3,"Bring to a boil, then reduce the heat and simmer for 20-25 minutes, or until the tubers are completely tender and can be easily pierced with a knife.",1500,-1
wild_tuber_curry,4,Drain any excess water. A small amount of coconut oil can be drizzled over the top before serving hot.,120,-1
chak_hao_kheer,1,Wash and soak the black rice in water for at least 1-2 hours.,-1,3600
chak_hao_kheer,2,"In a heavy-bottomed pan, bring the milk to a boil with the bay leaf.",600,-1
chak_hao_kheer,3,Drain the soaked rice and add it to the boiling milk. Reduce the heat to low.,120,-1
chak_hao_kheer,4,"Simmer for 45-60 minutes, stirring frequently, until the rice is completely cooked and the milk has thickened and turned a deep purple color.",3600,-1
chak_hao_kheer,5,Stir in the sugar and cook for another 5-10 minutes until it dissolves. Serve warm or chilled.,600,-1
galho,1,"Wash the rice. In a large pot, combine the rice, smoked meat, chopped vegetables, ginger, garlic, and salt.",480,-1
galho,2,Add about 4-5 cups of water and bring to a boil.,600,-1
galho,3,"Reduce the heat, cover, and let it simmer for 30-40 minutes, stirring occasionally, until the rice is fully cooked and has broken down, and the mixture has a thick, porridge-like consistency.",2100,-1
jadoh,1,Wash the rice and let it soak for 30 minutes.,-1,1800
jadoh,2,"In a heavy-bottomed pot, render the pork fat over medium heat. Add the chopped onions and sauté until translucent.",480,-1
jadoh,3,Add the ginger paste and sauté for another minute. Add the pork pieces and cook until they are lightly browned.,600,-1
jadoh,4,"Stir in the turmeric powder, black pepper, bay leaf, and salt.",120,-1
jadoh,5,Drain the soaked rice and add it to the pot. Stir gently for a minute to coat the rice with the fat and spices.,120,-1
jadoh,6,"Pour in 2 cups of hot water, bring to a boil, then reduce the heat to low. Cover the pot tightly and cook for 15-20 minutes, or until the rice is cooked and the water is absorbed.",1200,-1
smoked_pork_with_axone,1,Boil the smoked pork in water for 30-40 minutes until it is tender. Reserve the stock.,2100,-1
smoked_pork_with_axone,2,"In a pot, add the boiled pork, a cup of its stock, the Axone, ginger, garlic, and the whole chili.",300,-1
smoked_pork_with_axone,3,"Bring to a simmer and cook for 15-20 minutes, allowing the pork to absorb the pungent flavor of the Axone and the heat from the chili.",1200,-1
smoked_pork_with_axone,4,Mash the chili into the gravy for more heat if desired. Adjust salt and serve hot with steamed rice.,120,-1
dal_baati_churma,1,"Prepare the Baati dough: Mix wheat flour, semolina, salt, 4 tbsp of ghee, and yogurt. Knead into a very firm dough using minimal water. Let it rest for 30 minutes.",-1,1800
dal_baati_churma,2,"Shape the dough into round balls and bake them in a preheated oven or over hot coals for 25-30 minutes, turning, until they are hard and golden brown.",1800,-1
dal_baati_churma,3,"While the baatis bake, pressure cook the lentils with turmeric and salt to make the dal.",1500,-1
dal_baati_churma,4,"Prepare the Churma: Take 2-3 of the hot, baked baatis, break them, and grind them into a coarse powder. Mix this powder with powdered sugar/jaggery and some melted ghee.",600,-1
dal_baati_churma,5,"To serve, break the remaining hot baatis, dip them generously in melted ghee, and serve immediately with the hot dal and churma.",300,-1
amritsari_kulcha,1,"Prepare the dough by mixing flour, yogurt, salt, and a little water. Knead into a soft dough and let it rest for at least 1 hour.",-1,3600
amritsari_kulcha,2,"Prepare the filling by mixing the mashed potatoes, chopped onion, garam masala, and salt.",480,-1
amritsari_kulcha,3,"Take a ball of dough, flatten it, place a portion of the filling inside, and seal it carefully.",600,-1
amritsari_kulcha,4,"Roll out the stuffed ball into an oval or round shape. Traditionally cooked in a tandoor, but can be cooked on a hot tawa.",300,-1
amritsari_kulcha,5,"Cook on the tawa with ghee or butter, flipping, until both sides are golden brown and crisp. Serve hot with chole (chickpea curry).",300,-1
jowar_bhakri,1,"Combine the sorghum flour and salt. Gradually add hot water and knead into a smooth, soft dough.",480,-1
jowar_bhakri,2,Divide the dough into equal-sized balls.,120,-1
jowar_bhakri,3,"On a flat surface, gently pat each ball with your palm and fingertips to form a thin, round flatbread (bhakri).",420,-1
jowar_bhakri,4,"Cook on a hot griddle (tawa) on both sides. Once cooked, place it directly on a flame to puff up. Serve hot with dal or chutney.",180,-1
nagli_rotla,1,Combine the millet flour and salt in a bowl. Gradually add hot water and mix with a spoon until cool enough to handle.,180,-1
nagli_rotla,2,"Knead into a smooth, soft dough. Divide into equal-sized balls.",300,-1
nagli_rotla,3,"On a flat surface, gently pat each ball with your palm to form a thick, round flatbread (rotla).",420,-1
nagli_rotla,4,Cook on a hot clay or cast-iron griddle (tawa) on both sides until cooked through. Serve hot with dal or chutney.,300,-1
wild_pig_curry,1,"In a pot, combine the wild pig meat, crushed ginger, chilies, and salt.",300,-1
wild_pig_curry,2,Add enough water to cover the meat completely. Bring to a boil.,600,-1
wild_pig_curry,3,"Reduce the heat, cover, and let it simmer for at least 1 to 1.5 hours, or until the meat is very tender and a simple, flavorful broth has formed.",4500,-1
pandanus_dough,1,"Separate the individual fruit segments (drupes) from the large, pineapple-like cluster.",600,-1
pandanus_dough,2,Boil the drupes in water (traditionally in a bark casserole) until they are soft.,1800,-1
pandanus_dough,3,"Using a mollusc shell or a similar scraper, scrape the starchy pulp out from the boiled drupes to form a dough.",900,-1
pandanus_dough,4,Meticulously remove the tough fibers from the dough by twirling a fine thread through the mass repeatedly until the dough is smooth.,600,-1
pandanus_dough,5,"The resulting fiber-free dough can be eaten immediately, often with honey or meat, or preserved for later use.",60,-1
pesarattu,1,"Wash and soak the whole green gram and rice together in water for at least 6-8 hours, or overnight.",-1,28800
pesarattu,2,"Drain the soaked ingredients. In a grinder, combine them with ginger, green chilies, cumin seeds, and a little water. Grind to a smooth, thick batter.",480,-1
pesarattu,3,"Transfer the batter to a bowl, add salt, and mix well.",120,-1
pesarattu,4,Heat a flat pan (tawa) and grease it lightly. Pour a ladleful of batter and spread it into a thin crepe. Drizzle oil around the edges.,180,-1
pesarattu,5,Cook on medium heat until the top is set and the bottom is golden and crisp. Flip and cook for another minute. Serve hot.,180,-1
gutti_vankaya_kura,1,"Dry roast peanuts, sesame seeds, and dried coconut separately until aromatic. Let them cool and grind into a fine powder.",600,-1
gutti_vankaya_kura,2,"Mix this powder with chopped onion, red chili powder, coriander powder, tamarind pulp, and salt to make the stuffing paste.",300,-1
gutti_vankaya_kura,3,"Wash the brinjals and slit them in a cross shape from the bottom, keeping the stem intact. Carefully stuff the masala paste inside each brinjal.",480,-1
gutti_vankaya_kura,4,"Heat oil in a wide pan. Place the stuffed brinjals in the pan and cook for 5 minutes, turning them gently.",300,-1
gutti_vankaya_kura,5,"Add any remaining masala and about 1 cup of water. Cover and simmer on low heat for 15-20 minutes, or until the brinjals are tender and the gravy is thick.",1200,-1
gongura_mamsam,1,"Pressure cook the mutton with salt, turmeric, and ginger-garlic paste until it is about 80% cooked. Reserve the stock.",1800,-1
gongura_mamsam,2,"In a separate pan, cook the gongura leaves with a little water until they turn mushy. Mash into a coarse paste.",600,-1
gongura_mamsam,3,Heat oil in a large pot. Sauté the sliced onions until golden brown. Add green chilies.,600,-1
gongura_mamsam,4,Add the partially cooked mutton and red chili powder. Sauté for 5 minutes.,300,-1
gongura_mamsam,5,"Stir in the mashed gongura paste and the reserved mutton stock. Cover and simmer on low heat for 15-20 minutes, until the mutton is fully tender and the gravy is thick.",1200,-1
chepa_pulusu,1,"Soak the tamarind in hot water for 15 minutes, then extract the thick pulp.",-1,900
chepa_pulusu,2,"Heat oil in an earthen pot or wide pan. Add mustard and fenugreek seeds. When they splutter, add the chopped onion and sauté until golden.",480,-1
chepa_pulusu,3,"Add the green chilies, turmeric, chili powder, and coriander powder. Sauté for a minute.",120,-1
chepa_pulusu,4,Pour in the tamarind extract and about 2 cups of water. Add salt and bring the stew (pulusu) to a rolling boil.,480,-1
chepa_pulusu,5,"Gently slide the fish pieces into the boiling pulusu. Reduce heat, cover, and simmer for 10-12 minutes until the fish is cooked through. Do not stir vigorously.",720,-1
chenchu_tuber_meal,1,Thoroughly wash and scrub the wild tubers to remove all dirt.,300,-1
chenchu_tuber_meal,2,Place the tubers in a pot and cover with water. Bring to a boil.,300,-1
chenchu_tuber_meal,3,"Simmer for 20-30 minutes, or until the tubers are completely soft and cooked through. The cooking time will vary depending on the type of tuber.",1500,-1
chenchu_tuber_meal,4,"Drain the water. Peel the tubers if necessary, sprinkle with salt, and eat as a staple meal.",120,-1
kodo_kutki_porridge,1,Bring the water to a boil in a pot.,300,-1
kodo_kutki_porridge,2,"Slowly add the millet flour or broken millet, whisking continuously to prevent lumps.",120,-1
kodo_kutki_porridge,3,"Reduce the heat to low and simmer, stirring occasionally, for 15-20 minutes until the millet is cooked and has formed a thick porridge or a thin broth, as desired.",1200,-1
kodo_kutki_porridge,4,"Add salt and serve warm, often with a side of vegetables.",60,-1
koya_tuber_detox,1,Peel and cut the toxic tubers into small pieces.,1200,-1
koya_tuber_detox,2,"Place the cut pieces in a cloth bag or a basket and submerge them in a source of running water, like a stream, for three full days. This process leaches out the toxins.",-1,259200
koya_tuber_detox,3,"After three days, retrieve the tubers. They must now be boiled thoroughly in water until completely soft.",1800,-1
koya_tuber_detox,4,"Once boiled, the tubers are safe to be eaten as a staple food.",60,-1
eyup_choih,1,Soak the dried bamboo shoots in hot water for 20-30 minutes to rehydrate them. Drain thoroughly.,-1,1500
eyup_choih,2,Roast the dried red chilies directly over a flame until they are dark and aromatic.,120,-1
eyup_choih,3,"Using a mortar and pestle, pound the rehydrated bamboo shoots, roasted chilies, and salt together into a coarse, pungent chutney.",600,-1
pasa,1,"Mince the fresh, raw fish meat as finely as possible into a smooth paste.",900,-1
pasa,2,"In a bowl, combine the minced fish with the chopped khumpatt herb, minced ginger, garlic, and green chilies.",480,-1
pasa,3,"Add salt and a small amount of cold water to create a thin, soup-like consistency. Mix well.",240,-1
pasa,4,Let it sit for a few minutes for the flavors to meld before serving. It is consumed uncooked.,180,-1
lukter,1,Shred or pound the smoked meat into fine fibers using a mortar and pestle.,480,-1
lukter,2,"In a bowl, mix the shredded meat thoroughly with the chili flakes and salt.",120,-1
lukter,3,"Serve as a dry, savory side dish with a main meal.",60,-1
bamboo_tube_cooking,1,"Marinate the fish pieces with ginger, garlic, turmeric, and salt.",300,-1
bamboo_tube_cooking,2,Stuff the marinated fish into the hollow of a green bamboo tube.,300,-1
bamboo_tube_cooking,3,Seal the open end of the bamboo tube with leaves.,120,-1
bamboo_tube_cooking,4,"Place the bamboo tube directly on an open fire, turning it periodically. Cook for 25-30 minutes until the bamboo is charred and the fish inside is steamed and cooked through.",1800,-1
oying,1,"In a pot, combine the chopped vegetables, crushed ginger, green chilies, and salt.",300,-1
oying,2,Add enough water to just cover the vegetables.,60,-1
oying,3,"Bring to a boil, then reduce the heat, cover, and simmer for 15-20 minutes until all the vegetables are tender.",1200,-1
pikey_pila,1,"In a pot, add the pork cubes, fermented bamboo shoots, ginger, king chilies, and salt.",300,-1
pikey_pila,2,"Pour in enough water to cover the ingredients, then add the 'pila'.",120,-1
pikey_pila,3,"Bring to a boil, then reduce heat, cover, and simmer for at least 1 to 1.5 hours, until the pork is extremely tender and the gravy is rich.",4500,-1
chura_sabji,1,"In a pot, bring about 2 cups of water to a boil.",300,-1
chura_sabji,2,"Add the crumbled churpi, king chilies, and salt to the boiling water.",120,-1
chura_sabji,3,"Simmer, stirring occasionally, until the cheese melts completely and forms a creamy soup.",600,-1
chura_sabji,4,Add the chopped leafy greens and cook for another 2-3 minutes until they are wilted. Serve hot with rice.,180,-1
oma_jwng_narjwi,1,Soak the dried jute leaves in warm water for 15-20 minutes to rehydrate them. Squeeze out excess water.,-1,1200
oma_jwng_narjwi,2,"In a pot, add the pork cubes, ginger-garlic paste, chilies, salt, and paprika. Mix well.",300,-1
oma_jwng_narjwi,3,Pour in the Kharwi and about 1 cup of water. Bring to a boil.,480,-1
oma_jwng_narjwi,4,"Add the soaked jute leaves. Cover and simmer on low heat for 25-30 minutes, or until the pork is tender and the gravy has thickened slightly.",1800,-1
onla,1,"Marinate the chicken pieces with ginger-garlic paste, turmeric, and salt for 20 minutes.",-1,1200
onla,2,"In a pot, add the marinated chicken and about 2 cups of water. Bring to a boil.",480,-1
onla,3,Cover and simmer for 15 minutes until the chicken is partially cooked.,900,-1
onla,4,Make a smooth slurry with the rice powder and a little cold water.,120,-1
onla,5,"Slowly pour the rice powder slurry into the simmering curry, stirring continuously to prevent lumps. Add the green chilies.",180,-1
onla,6,Cook for another 5-7 minutes until the gravy thickens and the chicken is fully cooked.,420,-1
samo_sobai,1,Thoroughly clean the snails in several changes of water. Boil the black lentils until they are soft but not mushy.,1800,-1
samo_sobai,2,"Heat oil in a pan, add chopped onions and garlic, and sauté until fragrant.",480,-1
samo_sobai,3,Add the cleaned snails and sauté for 5 minutes.,300,-1
samo_sobai,4,"Add the boiled black lentils, cumin powder, and salt. Add about 1 cup of water.",240,-1
samo_sobai,5,Cover and simmer for 15-20 minutes until the flavors have melded. Stir in the wild coriander before serving.,1200,-1
pitang_oiying,1,"In a pot, combine the meat, ginger-garlic paste, green chilies, and salt with about 3 cups of water. Bring to a boil.",600,-1
pitang_oiying,2,Cover and simmer for 20 minutes until the meat is partially cooked.,1200,-1
pitang_oiying,3,"Slowly sprinkle in the coarsely ground rice, stirring continuously to prevent lumps from forming.",180,-1
pitang_oiying,4,"Continue to simmer for another 10-15 minutes, until the meat is tender and the gravy has thickened from the rice starch.",900,-1
pitang_oiying,5,Stir in the fresh wild herbs just before serving.,60,-1
namsing_chutney,1,"In a bowl, combine the Namsing powder with the finely chopped onion and green chilies.",300,-1
namsing_chutney,2,"Add the mustard oil and salt. Mix thoroughly to form a pungent, moist chutney.",180,-1
namsing_chutney,3,"Serve as a powerful, savory condiment with rice.",60,-1
pork_kalangdang,1,"In a pot, combine the pork, bamboo shoots, ginger, garlic, green chilies, and salt.",300,-1
pork_kalangdang,2,Add enough water to just cover the ingredients. Bring to a boil.,480,-1
pork_kalangdang,3,"Reduce the heat, cover, and let it simmer for 30-40 minutes, or until the pork is completely tender and the flavors have melded together.",2100,-1
pork_kimung,1,"In a bowl, mix the pork with the chopped herbs, ginger, chilies, and salt.",480,-1
pork_kimung,2,Tightly stuff the mixture into the hollow of a green bamboo tube.,300,-1
pork_kimung,3,Seal the open end of the bamboo with leaves.,120,-1
pork_kimung,4,"Place the bamboo tube over a fire, turning it periodically, for 30-40 minutes until the bamboo is charred and the pork inside is cooked and aromatic.",2100,-1
champaran_meat,1,"In a large mixing bowl, combine the mutton with all the ingredients: sliced onions, ginger-garlic paste, mustard oil, all whole and powdered spices, and salt. Mix thoroughly.",900,-1
champaran_meat,2,Transfer the entire mixture into a traditional clay pot (handi).,300,-1
champaran_meat,3,Seal the lid of the handi tightly with wheat flour dough to trap the steam.,300,-1
champaran_meat,4,Place the sealed pot on a low charcoal fire and let it cook slowly for at least 2 to 2.5 hours. Do not open or stir during this time.,8100,-1
champaran_meat,5,"Carefully break the seal and serve the tender, aromatic meat directly from the handi.",120,-1
kadhi_badi,1,"Prepare the badi: Mix 3/4 cup of besan with a pinch of turmeric, salt, and enough water to make a thick, fluffy batter. Whisk vigorously.",480,-1
kadhi_badi,2,Heat oil for frying. Drop small spoonfuls of the batter into the hot oil and fry until golden brown. Drain and set aside.,600,-1
kadhi_badi,3,"Prepare the kadhi: In a bowl, whisk the sour yogurt with the remaining 1/4 cup of besan and 3 cups of water until smooth.",300,-1
kadhi_badi,4,"Heat mustard oil in a pot. Add panchphoran and asafoetida. When they splutter, add the yogurt-besan mixture, turmeric, and salt, stirring continuously.",180,-1
kadhi_badi,5,"Bring the kadhi to a simmer on low heat, stirring often, for about 10 minutes. Add the fried badi and simmer for another 5 minutes. Serve hot with rice.",900,-1
sattu_paratha,1,Prepare a soft dough from the wheat flour and water. Let it rest for 20 minutes.,-1,1200
sattu_paratha,2,"For the filling, mix sattu with chopped onion, garlic, salt, mustard oil/pickle masala, and a little water to form a moist, crumbly mixture.",480,-1
sattu_paratha,3,"Take a ball of dough, flatten it, place a generous amount of sattu filling in the center, and seal it.",480,-1
sattu_paratha,4,Dust with flour and roll it out into a paratha. Cook on a hot tawa with ghee or oil until both sides are golden brown and crisp.,240,-1
dal_puri,1,"Pressure cook the soaked chana dal with turmeric and salt until soft. Drain excess water and let it cool. Grind it into a dry, coarse powder.",1800,-1
dal_puri,2,"Roast cumin seeds and asafoetida, grind them, and mix into the dal powder to make the filling.",300,-1
dal_puri,3,"Prepare a soft dough from the wheat flour. Make small balls, stuff them with the dal filling, and roll them out into puris.",900,-1
dal_puri,4,Deep-fry the puris in hot oil until they puff up and turn golden brown.,600,-1
leto,1,Heat mustard oil in a pan. Sauté ginger-garlic paste until fragrant.,240,-1
leto,2,Add the shredded cooked chicken and turmeric. Sauté for a few minutes.,300,-1
leto,3,"In a separate bowl, make a smooth, lump-free paste of the rice flour with about 2 cups of water.",240,-1
leto,4,"Slowly pour the rice flour slurry into the pan with the chicken, stirring continuously to prevent lumps.",180,-1
leto,5,"Cook on low heat, stirring constantly for 20-25 minutes, until the mixture thickens into a dense, savory paste. Add salt to taste.",1500,-1
patpoda_chicken,1,"Marinate the chicken pieces with ginger paste, garlic paste, and salt for at least 30 minutes.",-1,1800
patpoda_chicken,2,Create a parcel or bowl with several layers of Sal leaves.,300,-1
patpoda_chicken,3,Place the marinated chicken inside the leaf parcel and seal it well.,120,-1
patpoda_chicken,4,"Cook the parcel directly in the embers of a low fire, turning occasionally, for about 20-25 minutes or until the chicken is cooked through and aromatic.",1500,-1
bore_baasi,1,Place the leftover cooked rice in an earthen pot or a bowl.,60,-1
bore_baasi,2,"Pour enough water, curd, or buttermilk to completely submerge the rice. Add a pinch of salt and stir.",60,-1
bore_baasi,3,"Cover the container and let it sit at room temperature to soak and ferment overnight, or for at least 8 hours.",-1,28800
bore_baasi,4,"The next day, mash the rice slightly and serve chilled with a side of raw onion and pickle.",180,-1
chila,1,"In a mixing bowl, combine the rice flour and salt. Gradually add water while whisking continuously to create a smooth, thin, lump-free batter.",300,-1
chila,2,Stir in the optional chopped green chili and coriander leaves. Let the batter rest for at least 15-20 minutes.,-1,1200
chila,3,Heat a flat griddle (tawa) over medium heat and grease it lightly with oil.,120,-1
chila,4,Pour a ladleful of batter onto the hot tawa and spread it into a thin circle. Drizzle a little oil around the edges.,60,-1
chila,5,Cook for 2-3 minutes until the top looks cooked and the edges become crisp. Flip and cook the other side for another minute. Serve hot with chutney.,180,-1
faraa,1,"Prepare the dough by adding hot water to the rice flour and salt, mixing, and kneading into a soft, smooth dough.",600,-1
faraa,2,"For the filling, drain the soaked lentils and grind them into a coarse paste with garlic and green chilies without adding water. Add salt.",480,-1
faraa,3,"Take small portions of the dough, flatten them into small discs, and place a spoonful of the lentil filling in the center.",600,-1
faraa,4,"Fold the discs into a half-moon shape or roll them into cylinders, sealing the edges.",300,-1
faraa,5,Arrange the dumplings in a greased steamer and steam for 12-15 minutes until cooked through.,900,-1
aamat,1,Heat oil in a pot. Add ginger and garlic paste and sauté for a minute.,240,-1
aamat,2,"Add all the vegetables, including the shredded bamboo shoots, along with turmeric powder and salt.",180,-1
aamat,3,Stir well and add about 2-3 cups of water. The consistency should be like a thin soup or stew.,120,-1
aamat,4,"Bring the mixture to a boil, then cover and simmer for 20-25 minutes until all the vegetables are tender. Serve hot with rice.",1500,-1
chaprah,1,Carefully clean the red ants and their eggs.,600,-1
chaprah,2,"Using a stone grinder (sil batta) or a mortar and pestle, grind the ants, eggs, salt, ginger, garlic, chilies, and coriander into a coarse paste.",300,-1
chaprah,3,Serve immediately as a pungent and tangy chutney with meals.,60,-1
sikiya_kheer,1,Wash the millet thoroughly.,120,-1
sikiya_kheer,2,"In a heavy-bottomed pan, bring the milk to a boil.",480,-1
sikiya_kheer,3,"Add the washed millet to the boiling milk. Reduce heat and simmer, stirring often, for about 25-30 minutes until the millet is soft and the milk has thickened.",1800,-1
sikiya_kheer,4,Stir in the jaggery or sugar and cardamom powder. Cook for another 5 minutes until the sweetener dissolves. Serve warm.,300,-1
