Recipe Id,Recipe Name English,Recipe Name Local,Is Non Veg,Total Active Time,Total Passive Time,Total Steps,Warning,Extra Info
amritsari_kulcha,North Indian Stuffed Bread,Amritsari Kulcha,False,1680,3600,5,"A surprising local favorite that highlights the influence of the North Indian, particularly Punjabi, settler community in the Andamans.",
jowar_bhakri,Sorghum Flatbread,Jowar Bhakri / Jolada Rotti,False,1200,0,4,"A staple flatbread in the inland regions of Maharashtra and Gujarat, representing the traditional grain-based diet of the tribes before migration.",
nagli_rotla,Finger Millet Flatbread,Nagli Rotla / Nagli Bhakri,False,1200,0,4,"A highly nutritious, gluten-free flatbread made from finger millet (ragi). It is a staple food for many tribal communities in the region.",
wild_pig_curry,Indigenous Wild Pig Curry,Wild Pig Curry,True,5400,0,3,"A representative recipe for the primary terrestrial game animal for all Andamanese tribes. The preparation is simple and rustic, focused on boiling the meat until tender.",
pandanus_dough,Pandanus Fruit Dough,Larop,False,3960,0,5,"The absolute staple food of the Shompen, who actively cultivate the Pandanus tree. This is not a recipe for a final dish, but for the complex processing of the fruit into an edible starchy dough.",
pesarattu,Green Gram Crepe,Pesarattu,False,960,28800,5,"An iconic Andhra breakfast crepe made from green gram (moong dal), giving it a unique flavor and texture. It is traditionally served with a spicy ginger chutney (Allam Pachadi).",
gutti_vankaya_kura,Stuffed Eggplant Curry,Gutti Vankaya Kura,False,2880,0,5,"A celebrated vegetarian dish. The rich, nutty flavor comes from a freshly ground masala paste of roasted peanuts, coconut, and spices that is stuffed into small eggplants.",
gongura_mamsam,Mutton with Sorrel Leaves,Gongura Mamsam,True,4500,0,5,"A signature Andhra dish where the sharp, tangy flavor of sorrel leaves (Gongura) perfectly complements the rich taste of mutton.",
chepa_pulusu,Spicy Fish Stew,Chepa Pulusu,True,1800,900,5,The quintessential fish curry of Coastal Andhra. It has a characteristic hot and sour taste derived from a tamarind-based broth and a generous amount of Guntur chilies.,
chenchu_tuber_meal,Foraged Wild Tuber Meal,Dumpa,False,2220,0,4,"This represents the simplest and most fundamental traditional food of the Chenchu. The preparation is minimal, focusing on making the foraged tuber edible.",
kodo_kutki_porridge,Millet Porridge,Kodo / Kutki Pej,False,1680,0,4,"The traditional staple food of the Gond tribe. This is a simple, nourishing gruel that forms the basis of their daily diet.",
koya_tuber_detox,Detoxified Wild Tuber,Karsi Dumpa Preparation,False,3060,259200,4,"This is not a recipe, but a critical food processing method of the Koya tribe to render specific toxic wild tubers edible. This generational knowledge is essential for survival.",
tribal_fermented_beverage,Tribal Fermented Beverage,Ippa Sara / Palm Toddy,False,-1,-1,0,Recipe Unavailable. These are culturally significant beverages. Ippa Sara is a spirit distilled from fermented Mahua flowers by the Gond and Koya. Palm Toddy is a natural sap tapped by the Koya that ferments into a nourishing drink.,
eyup_choih,Nyishi Dried Bamboo Shoot Chutney,Eyup Choih,False,720,1500,3,"A quintessential, pungent Nyishi chutney. The authentic flavor comes from roasting the chilies directly on an open fire to impart a smoky taste.",
pasa,Adi Raw Fish Soup,Pasa,True,1800,0,4,"A traditional Adi delicacy. This is a raw preparation and relies on extremely fresh fish. The 'khumpatt' herb is essential for the authentic, unique flavor.",
lukter,Adi Smoked Meat with Chili,Lukter,True,660,0,3,A simple but potent side dish. The flavor is defined by the quality of the smoked meat and the heat of the chili.,
bamboo_tube_cooking,Adi Bamboo Tube Cooking,Ma Dong / Kong E Penam,True,2520,0,4,"A traditional cooking method where food is steamed inside green bamboo, imparting a unique flavor. This recipe is for fish.",
oying,Adi Oil-Free Vegetable Stew,Oying,False,1560,0,3,A light and healthy stew that highlights the natural flavor of vegetables. It is traditionally made without any oil.,
pikey_pila,Apatani Pork and Bamboo Shoot Stew,Pikey Pila,True,4920,0,3,"The defining ingredient is 'pila', an alkaline liquid from plant ash, which gives the stew its unique taste and texture. King chilies provide intense heat.",
chura_sabji,Apatani Fermented Cheese Soup,Chura Sabji,False,1200,0,4,"A creamy, tangy, and very spicy dish made from melting 'churpi' (fermented cheese). The flavor is strong and an acquired taste.",
apong,Tribal Fermented Rice / Millet Beer,Apong / Opo / Poka,False,-1,-1,0,"Recipe Unavailable. A culturally ubiquitous beverage made by fermenting rice or millet with a special herbal starter culture ('E'pob'). The process is a form of traditional biotechnology, not a standard cooking recipe.",
oma_jwng_narjwi,Bodo Pork with Dry Jute Leaves,Oma Jwng Narjwi,True,2580,1200,4,"A quintessential Bodo dish. The unique flavor comes from cooking with 'Kharwi', an alkaline liquid from banana peel ash, and the slightly bitter taste of dried jute leaves.",
onla,Bodo Chicken Curry with Rice Powder,Onla,True,2100,1200,6,"A Bodo specialty where 'on' (rice powder) is used to create a unique, creamy gravy. Khar may also be added for flavor.",
samo_sobai,Bodo Snails with Black Lentils,Samo Sobai,True,4020,0,5,A prized Bodo delicacy. The snails must be thoroughly cleaned before cooking. The meat is traditionally sucked from the shell.,
pitang_oiying,Mising Meat Curry with Rice Flour Gravy,Pitang Oiying / Amín Oying,True,2940,0,5,"A Mising specialty where coarsely ground raw rice ('pitang') is used to naturally thicken the curry, creating a wholesome one-pot meal.",
namsing_chutney,Mising Fermented Fish Chutney,Namsing,True,540,0,3,"This is not a recipe for making Namsing itself, but for preparing a chutney from the finished fermented fish powder, which is a Mising culinary hallmark.",
pork_kalangdang,Karbi Boiled Pork with Bamboo Shoot,Pork Kalangdang,True,2880,0,3,A classic Karbi dish defined by the 'Kalangdang' (boiling) method. It uses minimal spices to highlight the natural flavors of pork and sour bamboo shoot.,
pork_kimung,Karbi Bamboo Tube Pork,Pork Kimung,True,3000,0,4,The authentic smoky flavor comes from cooking the pork in a sealed green bamboo tube directly over a fire.,
tribal_rice_beer,Assamese Tribal Rice Beer,Zou / Apong / Hor,False,-1,-1,0,"Recipe Unavailable. A culturally ubiquitous beverage across Bodo, Mising, and Karbi communities. It is made by fermenting rice with a complex, plant-based starter culture. The process is a form of traditional biotechnology, not a standard cooking recipe.",
champaran_meat,Clay Pot Mutton Stew,Champaran Meat / Ahuna Mutton,True,9720,0,5,The unique flavor comes from slow-cooking the mutton in a sealed earthen pot (handi) over charcoal. This is a dump-and-cook method.,
kadhi_badi,Yogurt Curry with Gram Flour Dumplings,Kadhi Badi,False,2460,0,5,The distinct Bihari flavor comes from tempering with 'panchphoran' in mustard oil. The yogurt must be cooked on low heat to prevent curdling.,
sattu_paratha,Roasted Gram Flour Stuffed Flatbread,Sattu Paratha,False,1200,1200,4,The filling should be moist but not wet to prevent the paratha from breaking while rolling.,
dal_puri,Lentil Stuffed Fried Bread,Dal Puri,False,3600,0,4,A festive favorite. The lentil filling must be cooked and ground to a dry consistency to stuff the puris properly.,
leto,Santhal Rice and Meat Porridge,Leto,True,2460,0,5,"A highly praised Santhal dish for festivals. It's a thick, savory paste rather than a typical porridge.",
patpoda_chicken,Oraon Leaf-Wrapped Chicken,Patpoda Chicken,True,1920,1800,4,The authentic flavor comes from wrapping the chicken in Sal leaves and cooking it directly in the embers of a fire.,
bore_baasi,Fermented Rice Porridge,Bore Baasi,False,300,28800,4,This is a traditional cooling meal for hot climates. The fermentation process is key to its unique tangy flavor and nutritional benefits.,
chila,Chhattisgarhi Rice Flour Pancake,Chila,False,660,1200,5,The consistency of the batter is crucial; it should be thin and pourable to create a crisp pancake.,
faraa,Steamed Rice Flour Dumplings,Faraa / Peetha,False,2880,0,5,The dough must be made with hot water to get the right texture. Ensure the dumplings are sealed properly to prevent the filling from leaking during steaming.,
aamat,Bastar Bamboo Shoot Curry,Aamat,False,2040,0,4,A signature sour curry from the Bastar region. Raw bamboo shoots must be properly processed (soaked or boiled) before cooking to remove bitterness.,
chaprah,Gond Red Ant Chutney,Chaprah,True,960,0,3,"A formidable delicacy from the Bastar region, known for its intense tangy and spicy flavor. This is a condiment, not a main dish.",
sikiya_kheer,Baiga Wild Crabgrass Pudding,Sikiya Kheer,False,2700,0,4,This is a rare dish made from foraged wild Sikiya millet. The grain is very small and nutritious. Common millets like Foxtail millet can be a substitute.,
salfi,Bastar Palm Sap,Salfi,False,-1,-1,0,Not a recipe. This is a natural sap tapped from a specific palm tree. It is sweet when fresh and becomes alcoholic as it naturally ferments throughout the day.,
mahua_toddy,Local Fermented Beverage,Mahua / Toddy / Sur,False,-1,-1,0,"Recipe Unavailable. In their native regions, tribes like the Dubla prepare a spirit from Mahua flowers. In Goa, this practice would adapt to using the locally available sap from coconut or cashew palms to create a fermented beverage known as Toddy or Sur.",
madra,Yogurt and Chickpea Curry,Madra,False,3420,28800,6,The yogurt-based gravy is central and can curdle if not cooked carefully on low heat. Using gram flour helps stabilize it. Traditional recipes avoid onion and garlic.,
siddu,Steamed Fermented Bread,Siddu,False,2760,14400,6,The dough must be well-fermented to achieve the characteristic light and spongy texture. Steaming must be done carefully to ensure it's cooked through without becoming soggy.,
chha_gosht,Buttermilk Mutton Curry,Chha Gosht,True,4500,3600,4,Cooking with buttermilk or yogurt requires slow cooking on low heat to prevent the gravy from splitting. Marinating the meat is crucial for tenderness.,
kaale_channe_ka_khatta,Sour Black Chickpea Curry,Kaale Channe ka Khatta,False,2400,0,4,The 'khatta' or sourness is the defining characteristic of this dish. The amount of souring agent can be adjusted to taste.,
tudkiya_bhaat,Himachali Spiced Rice with Lentils,Tudkiya Bhaat,False,2220,1800,5,This is a one-pot meal where the balance of spices and yogurt is key. Ensure rice is not overcooked.,
aktori_patande,Buckwheat or Wheat Flour Crepes,Aktori / Patande,False,540,1050,5,"The batter consistency is key to making thin, even crepes. Buckwheat flour gives a more traditional, nutty flavor.",
aid_ka_saag,Stinging Nettle Greens,Aid ka Saag,False,1920,0,4,Recipe is speculative. Fresh stinging nettle must be handled with gloves and blanched or cooked thoroughly to neutralize the sting.,
mahani,Savory Buttermilk Preparation,Mahani,False,-1,-1,0,Recipe Unavailable. The provided text only describes this as a 'savory preparation made from buttermilk' in the Gaddi diet.,
gurani,Jaggery and Milk Mixture,Gurani,False,-1,-1,0,Recipe Unavailable. The provided text only describes this as a 'simple but energy-rich mixture of jaggery (gur) and milk' in the Gaddi diet.,
sur,Traditional Fermented Barley Beverage,Sur,False,-1,-1,0,"Recipe Unavailable. The preparation is complex, involves fermentation with local herbs, and is a culturally significant licensed beverage of the Gaddi community.",
kalari,The Highland's Stretched-Curd Cheese,Kalari,False,2010,302400,8,"The authenticity of Kalari depends on using raw, full-fat milk that is only warmed, not boiled. The traditional coagulant is sour whey (Matthar), and substitutes will alter the texture.",
makki_ki_roti,The Staple Maize Flatbread,Makki ki Roti,False,1800,900,4,"Maize flour is gluten-free, making the dough notoriously difficult to handle and roll without breaking. Using hot water is essential, and modern shortcuts like rolling between parchment paper are recommended for beginners.",
noon_chai,The Ritual of Salted Tea,Noon Chai,False,3150,0,3,The unique pink color is the result of a specific chemical reaction between special Kashmiri/gunpowder green tea and baking soda. Regular green tea may not work. Aeration ('phaita lagana') is critical to develop the color.,
gucchi_pulao,A Forager's Prized Feast,Gucchi Pulao,False,2850,6900,7,This is a luxury dish. The soaking water from the dried morels is the soul of the dish and must be strained meticulously through muslin cloth to remove grit before being used to cook the rice.,
mamtu,Steamed Dumplings of the Karakoram,Mamtu,True,4500,1800,5,Steaming time depends heavily on the filling. Use a longer time (30-35 mins) for traditional raw meat filling to ensure it's cooked through. A shorter time (10-15 mins) is sufficient for a pre-cooked filling.,
chapshuro,The Savory Mountain Pie,Chapshuro,True,2250,1350,4,"If using a traditional raw meat filling, the pie must be cooked slowly on low heat with a lid to ensure the meat cooks through without burning the crust.",
prapu,Noodles in Walnut and Apricot Sauce,Prapu,False,1920,1800,6,Recipe Incomplete. The following is a speculative reconstruction. Authentic flavor depends heavily on local herbs and pressed apricot oil.,
gyal,Buckwheat Griddle Cakes,Gyal,False,900,0,3,Recipe Unavailable. The following is a highly speculative reconstruction based on a general description. Traditional taste depends on local red/brown buckwheat flour.,
balay,Hearty Noodle and Meat Soup,Balay,True,-1,-1,0,Recipe Unavailable. The description is too general to attempt a meaningful reconstruction.,
marzan,Ceremonial Soaked Wheat Dough,Marzan,False,-1,-1,0,"Recipe Unavailable. The complex, multi-week grain soaking and fermentation process cannot be reliably reconstructed from the available information.",
khambir,Fermented Ladakhi Bread,Khambir,False,1800,36000,4,Recipe Incomplete. This is a simplified reconstruction. Authentic taste depends on natural fermentation and traditional baking on a hot stone slate.,
kak_moch,Apricot Soup,Kak Moch,False,1950,0,4,Recipe is based on a proxy: the nearly identical Hunza dish 'Bataring Daudo.' This is presented as a very close regional variant.,
dhuska,Deep-Fried Rice and Lentil Pancake,Dhuska,False,2100,28800,5,Overnight fermentation of the batter is crucial for the authentic taste and texture. The batter should be thick but pourable.,
pitha,Jharkhandi Steamed Dumplings,Pitha / Pittha,False,2940,0,5,This is a representative recipe for a savory lentil-stuffed pitha. The dough must be made with hot water for the correct soft texture.,
rugra_curry,Indigenous Mushroom Curry,Rugra Curry,False,2940,0,5,"Rugra is a rare, subterranean monsoon mushroom unique to the region, with a chewy, meat-like texture. Its earthy flavor is the star of the dish.",
red_ant_chutney,Red Ant Chutney,Kurkut Chutney,True,960,0,3,"A pungent, tangy, and protein-rich condiment made from foraged red weaver ants and their eggs. It is a traditional delicacy valued for its medicinal properties.",
dubki_tiyan,Oraon Urad Dal Dumpling Curry,Dubki Tiyan,False,3000,0,5,"A unique Oraon dish. The dumplings are cooked directly in the simmering curry, which absorbs their flavor.",
ragi_mudde,Steamed Finger Millet Balls,Ragi Mudde,False,1500,0,5,"A cornerstone of the traditional diet in Southern Karnataka. It requires vigorous stirring to achieve a smooth, lump-free consistency and is traditionally swallowed, not chewed.",
pandi_curry,Kodava Pork Curry,Pandi Curry,True,5100,0,6,"The most iconic dish of Kodagu cuisine. Its unique dark color and tangy flavor come from 'Kachampuli', a sour fruit vinegar exclusive to the region, which is an essential ingredient.",
neer_dosa,Watery Rice Crepe,Neer Dosa,False,1020,14400,5,"A delicate, lacy crepe from Coastal Karnataka. The batter is made from only rice and should be very thin, like water. It requires no fermentation.",
wild_greens_sambar,Wild Greens Sambar,Soppina Saaru,False,2340,0,4,"Represents the traditional foraged food culture. This is a simple, nutritious curry made from a variety of foraged leafy greens, a staple for forest-dwelling communities.",
wild_greens_stir_fry,Wild Greens Stir-fry,Chappu Thoran,False,1020,0,4,A simple and highly nutritious side dish made from foraged leafy greens. Accurate identification of edible wild plants is crucial.,
bamboo_rice_pudding,Bamboo Rice Pudding,Moongil Arisi Payasam,False,3120,3600,5,"A highly prized and rare festive sweet. Bamboo rice, which is the grain collected from a flowering bamboo shoot, has a unique, earthy flavor and chewy texture.",
foraged_mushroom_fry,Foraged Mushroom Fry,Kattu Kalan Varuthathu,False,1320,0,4,A seasonal delicacy enjoyed during the monsoon. Requires expert traditional knowledge to correctly identify edible wild mushrooms and distinguish them from poisonous varieties.,
manjakoova_porridge,Wild Turmeric Porridge,Manjakoova Kurukku,False,1320,0,4,"A special preparation made from the powder of a specific wild turmeric tuber (Curcuma neilgherrensis), consumed for its nutritional value.",
pej,Baiga Millet Porridge,Pej / Mandiya Bhaat,False,1680,0,4,"This is a foundational, hydrating, and energy-giving gruel. It can be made thin like a drink or thick like a porridge.",
putpuda_chicken_stew,Baiga Mushroom and Chicken Stew,Putpuda Chicken,True,2700,0,4,"The authentic flavor comes from the foraged 'putpuda' mushroom. Other earthy mushrooms like shiitake or portobello can be used as a substitute. Traditional Baiga cooking is minimalist, using very few spices.",
mahua_puri,Sweet Mahua Flower Bread,Mahua Puri,False,1800,1800,5,"The unique sweet and floral flavor comes from sun-dried Mahua flowers, which is an essential and irreplaceable ingredient.",
baiga_chokha,Baiga Roasted Vegetable Mash,Chokha,False,1500,0,3,The authentic smoky flavor is achieved by roasting the vegetable directly on an open fire or hot coals until the skin is charred.,
panmodi,Leaf-Steamed Rice and Cucumber Cake,Panmodi,False,1980,0,5,A unique steamed cake prepared for the 'Barki Tiwli' (Diwali) festival from the first harvest of rice. It is traditionally wrapped in a 'chai' leaf for steaming.,
ragi_ambil,Fermented Finger Millet Porridge,Ragi Ambil,False,1200,28800,5,"A cooling, probiotic-rich porridge consumed especially during hot weather. The fermentation process is key to its tangy taste and nutritional benefits.",
crab_curry,Mashed Crab Curry,Khekda Bharta,True,2160,0,5,"A simple, rustic preparation highlighting foraged crabs. This recipe reflects the traditional oil-free boiling method.",
wild_yam_curry,Wild Yam Curry,Kand Bhaji,False,2700,0,4,"This dish showcases the use of foraged wild tubers, a critical 'famine food'. Some wild yams require specific processing (like boiling in tamarind water) to remove toxins or itchiness before cooking.",
tadi_palm_wine,Palm Wine,Tadi,False,-1,-1,0,Recipe Unavailable. A culturally and spiritually significant beverage cultivated from the sap of palm trees. It is considered a divine gift and is a mandatory offering in all life-cycle rituals.,
eromba,Mashed Vegetable and Fermented Fish Chutney,Eromba,True,1560,0,4,"A quintessential Manipuri chutney. The pungent, umami flavor of 'ngari' (fermented fish) is the essential and defining ingredient of this dish.",
chamthong,Manipuri Vegetable Stew,Chamthong / Kangshoi,True,1920,0,4,"A light, healthy, and soupy stew that forms the centerpiece of a daily meal. It is flavored with ngari, not heavy spices.",
singju,Manipuri Piquant Salad,Singju,True,960,0,4,"A fresh, spicy salad with complex textures. This recipe uses the non-vegetarian dressing with ngari; a vegetarian version uses roasted perilla seed powder.",
paknam,Turmeric Leaf Wrapped Savory Cake,Paknam,True,2820,0,5,"A unique savory pancake. The use of fresh turmeric leaves for wrapping is essential as they impart a distinct, earthy aroma during cooking.",
smoked_pork_with_akhuni,Smoked Pork with Fermented Soybeans,Smoked Pork with Akhuni,True,3660,0,4,An iconic dish from the hills of Manipur. The pungent aroma and deep umami flavor of 'akhuni' (fermented soybeans) is the defining characteristic.,
mepoh,Thick Rice and Smoked Meat Porridge,Mepoh / Buhchhiar,True,5160,0,4,A hallmark one-pot dish where rice breaks down to thicken the stew. Requires very slow cooking and frequent stirring to prevent burning.,
doh_neiiong,Pork with Black Sesame,Doh-neiiong / Doh Sain,True,4980,0,5,An indulgent and aromatic curry. The key to the flavor is roasting the black sesame seeds before grinding them into a paste.,
dohkhlieh,Minced Pork Salad,Dohkhlieh,True,3660,0,4,A refreshing and hearty pork salad. Traditionally made using meat from the pig's head and sometimes enriched with boiled pig's brain.,
tungrymbai_pork,Fermented Soybean with Pork,Tungrymbai,True,2220,0,5,"This recipe is for cooking with pre-made Tungrymbai. The dish has a very strong, pungent aroma and flavor that is an acquired taste.",
pumaloi,Steamed Rice Cake,Pumaloi / Tpulandong,False,1860,0,5,"A light, fluffy rice cake. It is traditionally steamed in a special terracotta pot ('Khiew Ranei') which gives it a unique shape and texture.",
doo_kapa,Chicken with Indigenous Soda,Do'o Kapa,True,2400,0,4,"A quintessential Garo dish defined by the use of 'Kalchi' (alkaline ash water), which tenderizes the meat and adds a unique flavor. Baking soda is a common modern substitute.",
nakam_bitchi,Dried Fish Soup,Na'kam Bitchi,True,1440,0,3,"A warming and spicy Garo soup. The flavor is intense and savory, best served with plain rice.",
dakharang,Jaintia Smoked Fish,Dakharang,True,960,0,3,A signature ingredient of the Jaintia people. This recipe is for a simple chutney or 'salad' made from pre-smoked fish.,
bai,Mizo Vegetable Stew,Bai,True,1860,0,4,"A quintessential Mizo stew. The authentic flavor is derived from 'Sa-um' (fermented pork fat) or 'Bekang' (fermented soybeans), not from spices. A pinch of baking soda is used to soften the vegetables.",
sawhchiar,Mizo Meat and Rice Porridge,Sawhchiar,True,4140,0,4,"The ultimate Mizo comfort food. It's a one-pot meal where the rice breaks down to create a thick, savory porridge with the meat.",
vawksa_rep,Mizo Smoked Pork Stir-fry,Vawksa Rep,True,2640,0,4,"A celebrated delicacy. The dish relies on the deep, smoky flavor of the pre-smoked pork.",
hmarcha_rawt,Roasted Chili Chutney,Hmarcha Rawt,False,900,0,3,"An essential, fiery accompaniment to every meal. The smoky flavor comes from roasting the ingredients directly over a flame.",
bachchuri_taaba,Chakma Bamboo Shoot Stew,Bachchuri Taaba,True,2280,0,4,"A classic Chakma dish defined by the pungent, savory flavor of 'Sidol' (fermented fish/shrimp paste).",
paajon_twon,Chakma Mixed Vegetable Stew,Paajon-Twon,False,2820,0,4,"The signature vegetarian dish of the 'Bizu' festival. Tradition dictates using a minimum of seven, and ideally many more, different types of vegetables, herbs, and flowers.",
sizo_hmepawk,Hmar Pork and Sizo Leaf Porridge,Sizo Hmepawk,True,5700,0,3,"A beloved and culturally iconic Hmar dish. The unique flavor comes from the 'Sizo' leaf, which is an indispensable ingredient for feasts and festivals.",
arsa_biepenek,Hmar Spicy Chicken with Rice Flour,Arsa Biepenek,True,2520,0,4,"A distinct Hmar chicken curry where the gravy is thickened with rice flour, giving it a unique texture.",
anishi_curry,Smoked Taro Leaf Curry,Anishi,True,2880,1800,4,"A delicacy of the Ao Naga. This recipe uses pre-made 'Anishi' - patties of fermented and smoked taro leaves, which have a unique, rich flavor.",
bamboo_tube_fish,Fish Cooked in Bamboo Tube,Bamboo Steamed Fish,True,2520,0,4,"An ancient cooking method where the food steams in a green bamboo tube over a fire, imparting a subtle, earthy aroma.",
yam_with_smoked_meat,Konyak Yam and Smoked Meat Stew,Yam with Smoked Meat,True,3420,0,4,"A signature Konyak delicacy, highlighting the importance of tubers as a staple food. The dish is simple, letting the smoky meat and earthy yam flavors dominate.",
black_sticky_rice_pudding,Black Sticky Rice Pudding,Nap Naang,False,3540,0,4,A mildly sweet and nutty pudding made from a prized indigenous variety of black sticky rice.,
zutho,Naga Rice Beer,Zutho,False,-1,-1,0,"Recipe Unavailable. A common, light-tasting fermented rice beer. The process involves sprouting rice to create a malt beverage, a form of traditional biotechnology not suitable for a standard recipe.",
kai_chutney,Santhal Red Weaver Ant Chutney,Kai Chutney,True,960,0,3,"A GI-tagged delicacy from Mayurbhanj. This pungent and tangy condiment is made from foraged red weaver ants and their eggs, and is valued for its nutritional and medicinal properties.",
arasal_tadi,Saora Palm Wine,Arasal / Tadi,False,-1,-1,0,Not a recipe. This is a natural sap tapped from the Fishtail or Toddy Palm. It is a nutritious supplement when fresh and becomes a mildly alcoholic beverage as it naturally ferments during the day.,
katul,Kutia Kondh Little Millet Beer,Katul,False,-1,-1,0,"Recipe Unavailable. A culturally significant beer of the Kutia Kondh, brewed from little millet using a complex, multi-step fermentation process involving a special leaf-wrapped starter cake ('kena').",
dal_paniya,Leaf-Roasted Maize Bread with Five-Lentil Stew,Dal Paniya,False,3180,0,5,A celebrated rustic meal. The authentic smoky flavor of the Paniya comes from wrapping the maize dough in leaves (like Aakda or Palash) and roasting it directly on slow-burning embers.,
rabdi_milk,Sweet Reduced Milk Dessert,Rabdi,False,3600,0,4,"A rich, celebratory dessert. The key technique is to slowly reduce the milk while collecting the layers of cream (malai) on the sides of the pan.",
khuri,Sikkimese Buckwheat Crepe,Khuri / Khu-ree,False,1200,0,4,"A traditional crepe, once a staple, now often served on special occasions. The authentic flavor comes from buckwheat or millet flour.",
