Recipe Id,Name,Amount,Unit,Is local
paniya,Salt,-1.0,to taste,False
paniya,"Large, Non-toxic Leaves (e.g., Aakda, Khakhra, Banana)",4.0,sets,False
rabdi_maize,Coarsely Ground Maize,1.0,cup,False
rabdi_maize,Water,4.0,cups,False
rabdi_maize,Buttermilk,1.0,cup,False
rabdi_maize,Salt,-1.0,to taste,False
kheer,Full-Fat Milk,1.0,Liter,False
kheer,Basmati Rice,0.25,"cup, washed and soaked",False
kheer,Sugar,0.5,cup (to taste),False
kheer,Cardamom Pods,3.0,crushed,False
kheer,"Nuts (Almonds, Pistachios)",-1.0,for garnish,False
bamboo_shoot_curry,Tender Bamboo Shoots (Karil),200.0,"g, processed and chopped",False
bamboo_shoot_curry,Mustard Oil,2.0,tbsp,False
bamboo_shoot_curry,Mustard Seeds,1.0,tsp,False
bamboo_shoot_curry,Garlic,4.0,"cloves, chopped",False
bamboo_shoot_curry,Turmeric Powder,0.5,tsp,False
bamboo_shoot_curry,Salt,-1.0,to taste,False
bisi_bele_bath,Rice,1.0,cup,False
bisi_bele_bath,Toor Dal (Pigeon Peas),1.0,cup,False
bisi_bele_bath,"Mixed Vegetables (Carrots, Beans, Peas)",2.0,"cups, chopped",False
bisi_bele_bath,Tamarind Pulp,2.0,tbsp,False
bisi_bele_bath,Jaggery,1.0,tbsp,False
bisi_bele_bath,Bisi Bele Bath Spice Powder,3.0,tbsp,False
bisi_bele_bath,Ghee,3.0,tbsp,False
bisi_bele_bath,Mustard Seeds,1.0,tsp,False
bisi_bele_bath,Cashew Nuts,10.0,,False
wild_tuber_curry,"Wild Yams (e.g., Dioscorea species)",500.0,"g, peeled and cubed",True
wild_tuber_curry,Turmeric Powder,0.5,tsp,False
wild_tuber_curry,Red Chili Powder,1.0,tsp,False
wild_tuber_curry,Salt,-1.0,to taste,False
wild_tuber_curry,Coconut Oil (optional),1.0,tbsp,False
chak_hao_kheer,Black Glutinous Rice (Chak-hao),0.5,cup,False
chak_hao_kheer,Full-Fat Milk,1.0,Liter,False
chak_hao_kheer,Sugar,0.75,cup (to taste),False
chak_hao_kheer,Bay Leaf,1.0,,False
galho,Rice,1.0,cup,False
galho,Smoked Pork or Beef,200.0,"g, shredded",False
galho,Mixed Seasonal Vegetables,1.0,"cup, chopped",False
galho,Ginger,1.0,inch piece,False
galho,Garlic,3.0,cloves,False
galho,Salt,-1.0,to taste,False
jadoh,Short-grain or Red Rice,1.0,cup,False
jadoh,Pork,250.0,"g, with fat, cubed",False
jadoh,Pork Fat,2.0,"tbsp, for cooking",False
jadoh,Onion,1.0,"large, chopped",False
jadoh,Ginger Paste,1.0,tbsp,False
jadoh,Turmeric Powder,1.0,tsp,False
jadoh,Black Pepper,0.5,tsp,False
jadoh,Bay Leaf,1.0,,False
jadoh,Salt,-1.0,to taste,False
smoked_pork_with_axone,Smoked Pork,500.0,"g, cut into chunks",False
smoked_pork_with_axone,Axone (Fermented Soybean) Paste or Cake,1.0,tbsp,True
smoked_pork_with_axone,Naga King Chili,1.0,or to taste,False
smoked_pork_with_axone,Ginger,1.0,"inch piece, sliced",False
smoked_pork_with_axone,Garlic,5.0,cloves,False
smoked_pork_with_axone,Salt,-1.0,to taste,False
dal_baati_churma,Whole Wheat Flour,3.0,cups,False
dal_baati_churma,Semolina (Suji),0.5,cup,False
dal_baati_churma,Mixed Lentils (Panchmel Dal),1.0,cup,False
dal_baati_churma,Ghee,1.0,cup,False
dal_baati_churma,Jaggery (Gur) or Powdered Sugar,0.75,cup,False
dal_baati_churma,Yogurt,0.25,cup,False
amritsari_kulcha,All-Purpose Flour,2.0,cups,False
amritsari_kulcha,Potatoes,2.0,"large, boiled and mashed",False
amritsari_kulcha,Onion,1.0,"medium, finely chopped",False
amritsari_kulcha,Garam Masala,1.0,tsp,False
amritsari_kulcha,Yogurt,2.0,tbsp,False
amritsari_kulcha,Ghee or Butter,-1.0,for cooking,False
jowar_bhakri,Sorghum (Jowar) Flour,2.0,cups,False
jowar_bhakri,Hot Water,1.0,cup (approx.),False
jowar_bhakri,Salt,-1.0,to taste,False
nagli_rotla,Finger Millet (Nagli/Ragi) Flour,2.0,cups,False
nagli_rotla,Hot Water,1.0,cup (approx.),False
nagli_rotla,Salt,-1.0,to taste,False
wild_pig_curry,Andaman Wild Pig Meat,500.0,"g, cut into pieces",True
wild_pig_curry,Ginger,1.0,"inch piece, crushed",False
wild_pig_curry,Wild Chilies,3.0,,False
wild_pig_curry,Salt,-1.0,to taste,False
pandanus_dough,Pandanus Fruit Cluster,1.0,large,True
pandanus_dough,Water,-1.0,for boiling,False
pandanus_dough,Mollusc Shell,1.0,for scraping,True
pesarattu,Whole Green Gram (Moong Dal),1.0,cup,False
pesarattu,Rice,2.0,tbsp,False
pesarattu,Ginger,1.0,inch piece,False
pesarattu,Green Chilies,2.0,,False
pesarattu,Cumin Seeds,1.0,tsp,False
pesarattu,Salt,-1.0,to taste,False
pesarattu,Oil,-1.0,for cooking,False
gutti_vankaya_kura,Small Brinjals (Eggplants),250.0,g,False
gutti_vankaya_kura,Peanuts,2.0,tbsp,False
gutti_vankaya_kura,Sesame Seeds,1.0,tbsp,False
gutti_vankaya_kura,Dried Coconut,2.0,"tbsp, grated",False
gutti_vankaya_kura,Onion,1.0,"large, chopped",False
gutti_vankaya_kura,Tamarind Pulp,1.0,tbsp,False
gutti_vankaya_kura,Red Chili Powder,1.0,tsp,False
gutti_vankaya_kura,Coriander Powder,1.0,tsp,False
gutti_vankaya_kura,Salt,-1.0,to taste,False
gongura_mamsam,Mutton,500.0,"g, bone-in",False
gongura_mamsam,Gongura (Sorrel) Leaves,2.0,"cups, tightly packed",False
gongura_mamsam,Onions,2.0,"large, sliced",False
gongura_mamsam,Ginger-Garlic Paste,1.5,tbsp,False
gongura_mamsam,Green Chilies,4.0,slit,False
gongura_mamsam,Red Chili Powder,1.5,tsp,False
gongura_mamsam,Turmeric Powder,0.5,tsp,False
gongura_mamsam,Oil,3.0,tbsp,False
chepa_pulusu,Freshwater Fish,500.0,"g, steaks",False
chepa_pulusu,Tamarind,1.0,lemon-sized ball,False
chepa_pulusu,Onion,1.0,"large, finely chopped",False
chepa_pulusu,Green Chilies,3.0,slit,False
chepa_pulusu,Red Chili Powder,2.0,tsp,False
chepa_pulusu,Coriander Powder,1.0,tsp,False
chepa_pulusu,Turmeric Powder,0.5,tsp,False
chepa_pulusu,Mustard Seeds,1.0,tsp,False
chepa_pulusu,Fenugreek Seeds,0.25,tsp,False
chepa_pulusu,Oil,3.0,tbsp,False
chenchu_tuber_meal,Foraged Wild Tubers (Dumpa),500.0,g,True
chenchu_tuber_meal,Salt,-1.0,to taste,False
kodo_kutki_porridge,Kodo or Kutki Millet,1.0,"cup, broken or as flour",False
kodo_kutki_porridge,Water,4.0,cups,False
kodo_kutki_porridge,Salt,-1.0,to taste,False
koya_tuber_detox,Karsi or Keski Dumpa (Wild Tubers),1.0,kg,True
eyup_choih,Dried Bamboo Shoots (Eyup),0.5,cup,False
eyup_choih,Dried Red Chilies,5.0,,False
eyup_choih,Salt,-1.0,to taste,False
pasa,Freshwater Fish,250.0,"g, deboned and skinned",False
pasa,Khumpatt Herb,1.0,"tbsp, finely chopped",True
pasa,Ginger,1.0,"inch piece, minced",False
pasa,Garlic,3.0,"cloves, minced",False
pasa,Green Chilies,2.0,minced,False
pasa,Salt,-1.0,to taste,False
lukter,"Smoked Meat (Pork, Beef, or Mithun)",100.0,g,False
lukter,Bhut Jolokia or other Dried Red Chili Flakes,1.0,tbsp (or to taste),False
lukter,Salt,-1.0,to taste,False
bamboo_tube_cooking,Fish,300.0,"g, cut into pieces",False
bamboo_tube_cooking,Ginger,1.0,"inch piece, crushed",False
bamboo_tube_cooking,Garlic,3.0,"cloves, crushed",False
bamboo_tube_cooking,Turmeric Powder,0.5,tsp,False
bamboo_tube_cooking,Salt,-1.0,to taste,False
bamboo_tube_cooking,Green Bamboo Internode,1.0,large,True
oying,"Mixed Seasonal Vegetables (Potato, Beans, Cabbage)",3.0,"cups, chopped",False
oying,Ginger,1.0,"inch piece, crushed",False
oying,Green Chilies,2.0,slit,False
oying,Salt,-1.0,to taste,False
pikey_pila,Pork with Fat,500.0,"g, cubed",False
pikey_pila,Fermented Bamboo Shoots,0.5,cup,False
pikey_pila,Pila (Alkaline Extract),2.0,tbsp,True
pikey_pila,King Chilies (Bhut Jolokia),2.0,,False
pikey_pila,Ginger,1.0,inch piece,False
pikey_pila,Salt,-1.0,to taste,False
chura_sabji,Fermented Cheese (Churpi/Chura),100.0,"g, crumbled",False
chura_sabji,"Leafy Greens (e.g., Spinach, Mustard Greens)",1.0,"cup, chopped",False
chura_sabji,King Chilies (Bhut Jolokia),1.0,or to taste,False
chura_sabji,Salt,-1.0,to taste,False
oma_jwng_narjwi,Pork with Fat,500.0,"g, cubed",False
oma_jwng_narjwi,Dried Jute Leaves (Narzi),1.0,cup,False
oma_jwng_narjwi,Kharwi (Alkaline Liquid),0.5,cup,True
oma_jwng_narjwi,Ginger Paste,1.0,tbsp,False
oma_jwng_narjwi,Garlic Paste,1.0,tbsp,False
oma_jwng_narjwi,Green Chilies,3.0,slit,False
oma_jwng_narjwi,Paprika or Red Chili Powder,1.0,tsp,False
oma_jwng_narjwi,Salt,-1.0,to taste,False
onla,Chicken,500.0,"g, bone-in",False
onla,Rice Powder (On),2.0,tbsp,False
onla,Ginger Paste,1.0,tbsp,False
onla,Garlic Paste,1.0,tbsp,False
onla,Green Chilies,2.0,slit,False
onla,Turmeric Powder,0.5,tsp,False
onla,Salt,-1.0,to taste,False
samo_sobai,Freshwater Snails,250.0,g,False
samo_sobai,Black Lentils (Urad Dal),0.5,cup,False
samo_sobai,Onion,1.0,chopped,False
samo_sobai,Garlic,4.0,"cloves, chopped",False
samo_sobai,Wild Coriander (Kata Masala),1.0,"tbsp, chopped",True
samo_sobai,Cumin Powder,1.0,tsp,False
samo_sobai,Salt,-1.0,to taste,False
pitang_oiying,Chicken or Pork,500.0,"g, cut into pieces",False
pitang_oiying,Coarsely Ground Raw Rice (Pitang),3.0,tbsp,False
pitang_oiying,Ginger Paste,1.0,tbsp,False
pitang_oiying,Garlic Paste,1.0,tbsp,False
pitang_oiying,Green Chilies,3.0,slit,False
pitang_oiying,"Wild Herbs (e.g., Marshang)",1.0,"tbsp, chopped",True
pitang_oiying,Salt,-1.0,to taste,False
namsing_chutney,Namsing (Fermented Fish Powder),2.0,tbsp,True
namsing_chutney,Onion,1.0,"small, finely chopped",False
namsing_chutney,Green Chilies,2.0,finely chopped,False
namsing_chutney,Mustard Oil,1.0,tsp,False
namsing_chutney,Salt,-1.0,to taste,False
pork_kalangdang,Pork,500.0,"g, with fat, cubed",False
pork_kalangdang,Sour Fermented Bamboo Shoots,0.5,cup,False
pork_kalangdang,Ginger,1.0,"inch piece, crushed",False
pork_kalangdang,Garlic,4.0,"cloves, crushed",False
pork_kalangdang,Green Chilies,3.0,slit,False
pork_kalangdang,Salt,-1.0,to taste,False
pork_kimung,Pork,500.0,"g, minced or finely chopped",False
pork_kimung,"Wild Herbs (e.g., Lopong leaves)",2.0,"tbsp, chopped",True
pork_kimung,Ginger,1.0,"inch piece, crushed",False
pork_kimung,Green Chilies,3.0,chopped,False
pork_kimung,Salt,-1.0,to taste,False
pork_kimung,Green Bamboo Internode (Langpong),1.0,large,True
champaran_meat,Mutton,1.0,"kg, bone-in",False
champaran_meat,Onions,500.0,"g, thinly sliced",False
champaran_meat,Ginger-Garlic Paste,3.0,tbsp,False
champaran_meat,Mustard Oil,150.0,ml,False
champaran_meat,"Whole Spices (Cinnamon, Cardamom, Cloves, Bay Leaf)",-1.0,,False
champaran_meat,Whole Dried Red Chilies,5.0,,False
champaran_meat,Turmeric Powder,1.0,tbsp,False
champaran_meat,Coriander Powder,2.0,tbsp,False
champaran_meat,Salt,-1.0,to taste,False
kadhi_badi,Gram Flour (Besan),1.0,cup,False
kadhi_badi,Sour Yogurt (Dahi),1.5,"cups, whisked",False
kadhi_badi,Mustard Oil,3.0,tbsp,False
kadhi_badi,Panchphoran (Five-Spice Blend),1.0,tsp,False
kadhi_badi,Turmeric Powder,1.0,tsp,False
kadhi_badi,Asafoetida (Hing),0.25,tsp,False
kadhi_badi,Salt,-1.0,to taste,False
kadhi_badi,Oil,-1.0,for frying badi,False
sattu_paratha,Whole Wheat Flour,2.0,cups,False
sattu_paratha,Sattu (Roasted Gram Flour),1.0,cup,False
sattu_paratha,Onion,1.0,finely chopped,False
sattu_paratha,Garlic,3.0,"cloves, minced",False
sattu_paratha,Mustard Oil or Pickle Masala,1.0,tbsp,False
sattu_paratha,Salt,-1.0,to taste,False
sattu_paratha,Ghee or Oil,-1.0,for pan-frying,False
dal_puri,Whole Wheat Flour,2.0,cups,False
dal_puri,Chana Dal (Split Chickpeas),1.0,"cup, soaked",False
dal_puri,Cumin Seeds,1.0,tsp,False
dal_puri,Asafoetida (Hing),0.25,tsp,False
dal_puri,Turmeric Powder,0.5,tsp,False
dal_puri,Oil,-1.0,for deep frying,False
leto,Rice Flour (Finely Ground),1.0,cup,False
leto,Chicken,250.0,"g, boneless, cooked and shredded",False
leto,Ginger-Garlic Paste,1.0,tbsp,False
leto,Turmeric Powder,0.5,tsp,False
leto,Mustard Oil,2.0,tbsp,False
leto,Salt,-1.0,to taste,False
patpoda_chicken,Chicken,500.0,"g, small pieces",False
patpoda_chicken,Ginger Paste,1.0,tbsp,False
patpoda_chicken,Garlic Paste,1.0,tbsp,False
patpoda_chicken,Salt,-1.0,to taste,False
patpoda_chicken,Sal Leaves,4.0,large sets,True
bore_baasi,Cooked Rice,1.0,"cup, preferably leftover",False
bore_baasi,"Water, Curd, or Buttermilk",2.0,cups,False
bore_baasi,Salt,-1.0,to taste,False
bore_baasi,Raw Onion and Pickles,-1.0,for serving,False
chila,Rice Flour,1.0,cup,False
chila,Water,1.5,cups (approx.),False
chila,Salt,-1.0,to taste,False
chila,Green Chili,1.0,finely chopped (optional),False
chila,Coriander Leaves,1.0,"tbsp, chopped (optional)",False
chila,Oil,-1.0,for cooking,False
faraa,Rice Flour,2.0,cups,False
faraa,Hot Water,1.5,cups (approx.),False
faraa,Split Chickpeas (Chana Dal),0.5,"cup, soaked for 3-4 hours",False
faraa,Garlic Cloves,4.0,,False
faraa,Green Chilies,2.0,,False
faraa,Salt,-1.0,to taste,False
aamat,Bamboo Shoots,1.0,"cup, processed and shredded",False
aamat,"Mixed Vegetables (e.g., beans, carrots)",1.0,"cup, chopped",False
aamat,Ginger Paste,1.0,tsp,False
aamat,Garlic Paste,1.0,tsp,False
aamat,Turmeric Powder,0.5,tsp,False
aamat,Salt,-1.0,to taste,False
chaprah,Red Ants and their Eggs,1.0,cup,True
chaprah,Salt,-1.0,to taste,False
chaprah,Ginger,0.5,inch piece,False
chaprah,Garlic,3.0,cloves,False
chaprah,Green or Red Chilies,4.0,,False
chaprah,Coriander Leaves,2.0,tbsp,False
sikiya_kheer,Sikiya Millet (or substitute),0.5,cup,True
sikiya_kheer,Milk,1.0,Liter,False
sikiya_kheer,Jaggery or Sugar,0.5,cup (to taste),False
sikiya_kheer,Cardamom Powder,0.5,tsp,False
madra,Chickpeas (Kabuli Chana),1.0,cup,False
madra,Yogurt (Dahi),1.5,"cups, whisked",False
madra,Ghee (Clarified Butter),3.0,tbsp,False
madra,Gram Flour (Besan),1.0,tbsp,False
madra,Cumin Seeds,1.0,tsp,False
madra,Cloves,4.0,,False
madra,Green Cardamom,3.0,,False
madra,Cinnamon Stick,1.0,inch,False
madra,Bay Leaf,1.0,,False
madra,Turmeric Powder,0.5,tsp,False
madra,Coriander Powder,1.0,tsp,False
madra,Salt,-1.0,to taste,False
siddu,Whole Wheat Flour (Atta),2.0,cups,False
siddu,Active Dry Yeast,1.0,tsp,False
siddu,Sugar,0.5,tsp,False
siddu,Walnuts or Poppy Seeds (Khas-Khas),0.75,"cup, for stuffing",False
siddu,Salt,-1.0,to taste,False
siddu,Ghee (for serving),-1.0,as needed,False
chha_gosht,Mutton,500.0,"g, bone-in",False
chha_gosht,Buttermilk (Chha),2.0,cups,False
chha_gosht,Gram Flour (Besan),2.0,tbsp,False
chha_gosht,Ghee or Mustard Oil,3.0,tbsp,False
chha_gosht,Ginger-Garlic Paste,1.0,tbsp,False
chha_gosht,Turmeric Powder,1.0,tsp,False
chha_gosht,Coriander Powder,1.5,tsp,False
chha_gosht,Red Chili Powder,1.0,tsp,False
chha_gosht,"Whole Spices (Cloves, Cardamom, Cinnamon)",-1.0,,False
kaale_channe_ka_khatta,Black Chickpeas (Kaale Chane),1.0,"cup, soaked overnight",False
kaale_channe_ka_khatta,Mustard Oil,2.0,tbsp,False
kaale_channe_ka_khatta,Tamarind Pulp or Dried Mango Powder (Amchur),2.0,tbsp,False
kaale_channe_ka_khatta,Cumin Seeds,1.0,tsp,False
kaale_channe_ka_khatta,Asafoetida (Hing),0.25,tsp,False
kaale_channe_ka_khatta,Turmeric Powder,0.5,tsp,False
kaale_channe_ka_khatta,Coriander Powder,1.0,tsp,False
kaale_channe_ka_khatta,Salt,-1.0,to taste,False
tudkiya_bhaat,Basmati Rice,1.0,"cup, soaked",False
tudkiya_bhaat,Split Chickpeas (Chana Dal) or other lentils,0.25,"cup, soaked",False
tudkiya_bhaat,Yogurt,0.5,cup,False
tudkiya_bhaat,Ghee,2.0,tbsp,False
tudkiya_bhaat,Onion,1.0,"medium, sliced",False
tudkiya_bhaat,Potatoes,1.0,"medium, cubed",False
tudkiya_bhaat,"Whole Spices (Cardamom, Cloves, Cinnamon, Bay Leaf)",-1.0,,False
tudkiya_bhaat,Turmeric Powder,0.5,tsp,False
tudkiya_bhaat,Salt,-1.0,to taste,False
aktori_patande,Buckwheat Flour (Kuttu ka Atta) or Wheat Flour,1.0,cup,False
aktori_patande,Milk or Water,1.5,cups (approx.),False
aktori_patande,Ghee or Oil,-1.0,for cooking,False
aktori_patande,Sugar or Salt,-1.0,to taste,False
aid_ka_saag,Fresh Stinging Nettle Leaves (Bichhu Ghass),500.0,g,True
aid_ka_saag,Mustard Oil,2.0,tbsp,False
aid_ka_saag,Garlic,4.0,"cloves, chopped",False
aid_ka_saag,Dried Red Chilies,2.0,,False
aid_ka_saag,Salt,-1.0,to taste,False
kalari,Raw Full-Fat Milk,2.0,Liters,False
kalari,Sour Whey (Matthar),2.0,cups (approx. 500 ml),True
kalari,Lemon Juice (substitute),3.0,tbsp,False
kalari,Curd (Yogurt) (substitute),1.0,kg,False
kalari,Oil or Ghee (for cooking),1.0,tsp (or none),False
kalari,Salt,-1.0,A pinch,False
makki_ki_roti,Maize Flour (Makki ka Atta),2.0,cups,False
makki_ki_roti,Hot Water,1.5,cups (approx.),False
makki_ki_roti,Salt,0.5,tsp,False
makki_ki_roti,Carom Seeds (Ajwain),1.0,tsp,False
makki_ki_roti,Ghee or Oil (for cooking),6.0,tbsp,False
noon_chai,Kashmiri/Green Tea Leaves,4.0,tsp,False
noon_chai,Water,5.0,cups,False
noon_chai,Baking Soda,0.25,tsp (a generous pinch),False
noon_chai,Salt,-1.0,to taste,False
noon_chai,Milk,2.0,cups,False
gucchi_pulao,Dried Morel Mushrooms (Gucchi),60.0,g,False
gucchi_pulao,Long-Grain Basmati Rice,1.5,cups,False
gucchi_pulao,Ghee (Clarified Butter),4.0,tbsp,False
gucchi_pulao,Onions,2.0,"large, thinly sliced",False
mamtu,All-Purpose Flour,3.0,cups,False
mamtu,Minced Meat (Lamb/Beef/Yak),1.0,lb / 450g,False
mamtu,Onions,2.0,"cups, finely diced",False
chapshuro,All-Purpose or Whole Wheat Flour,500.0,g,False
chapshuro,Minced Meat (Beef/Mutton/Yak),500.0,g,False
chapshuro,Onions,5.0,"medium, finely chopped",False
prapu,Whole Wheat Flour (for noodles),100.0,g (approx.),False
prapu,Walnuts,0.25,"cup (approx.), finely ground",False
prapu,Apricot Oil,2.0,tbsp,True
gyal,Buckwheat Flour,0.5,cup (approx.),True
gyal,"Accompaniments (Apricot Oil, butter, honey, or walnut paste)",-1.0,,True
balay,Goat meat stock,-1.0,,False
balay,Handmade noodles,-1.0,,False
marzan,Whole wheat grains,-1.0,,False
marzan,Apricot oil (for dipping),-1.0,,True
khambir,Whole Wheat Flour,2.0,cups (approx.),False
kak_moch,Organic Dried Apricots,200.0,g,False
kak_moch,Flour (All-Purpose or Wheat),50.0,g,False
dhuska,Rice,1.0,cup,False
dhuska,Chana Dal (Split Chickpeas),0.5,cup,False
dhuska,Urad Dal (Split Black Gram),0.25,cup,False
dhuska,Ginger,1.0,inch piece,False
dhuska,Green Chilies,2.0,,False
dhuska,Turmeric Powder,0.5,tsp,False
dhuska,Salt,-1.0,to taste,False
dhuska,Oil,-1.0,for deep frying,False
pitha,Rice Flour,2.0,cups,False
pitha,Hot Water,1.5,cups (approx.),False
pitha,Chana Dal (Split Chickpeas),0.75,"cup, soaked for 3-4 hours",False
pitha,Garlic,3.0,cloves,False
pitha,Ginger,0.5,inch piece,False
pitha,Salt,-1.0,to taste,False
rugra_curry,Rugra Mushrooms,250.0,g,True
rugra_curry,Mustard Oil,2.0,tbsp,False
rugra_curry,Onion,1.0,"large, chopped",False
rugra_curry,Ginger-Garlic Paste,1.0,tbsp,False
rugra_curry,Tomato,1.0,chopped,False
rugra_curry,Turmeric Powder,0.5,tsp,False
rugra_curry,Coriander Powder,1.0,tsp,False
rugra_curry,Salt,-1.0,to taste,False
red_ant_chutney,Red Weaver Ants and their Eggs,1.0,cup,True
red_ant_chutney,Salt,-1.0,to taste,False
red_ant_chutney,Garlic,4.0,cloves,False
red_ant_chutney,Ginger,1.0,inch piece,False
red_ant_chutney,Green Chilies,3.0,,False
dubki_tiyan,Urad Dal (Split Black Gram),1.0,"cup, soaked for 4-5 hours",False
dubki_tiyan,Onion,1.0,"large, for curry paste",False
dubki_tiyan,Tomato,1.0,"large, for curry paste",False
dubki_tiyan,Ginger-Garlic Paste,1.0,tbsp,False
dubki_tiyan,Coriander Powder,1.0,tsp,False
dubki_tiyan,Turmeric Powder,0.5,tsp,False
dubki_tiyan,Oil,2.0,tbsp,False
dubki_tiyan,Salt,-1.0,to taste,False
ragi_mudde,Finger Millet (Ragi) Flour,1.0,cup,False
ragi_mudde,Water,2.0,cups,False
ragi_mudde,Salt,-1.0,a pinch,False
pandi_curry,Pork,1.0,"kg, with fat, cubed",False
pandi_curry,Kachampuli Vinegar,1.0,tbsp,True
pandi_curry,Onion,2.0,"large, chopped",False
pandi_curry,Ginger-Garlic Paste,2.0,tbsp,False
pandi_curry,Green Chilies,4.0,slit,False
pandi_curry,Red Chili Powder,1.0,tbsp,False
pandi_curry,Coriander Powder,2.0,tbsp,False
pandi_curry,Black Peppercorns,1.0,"tbsp, crushed",False
neer_dosa,Raw Rice,1.0,cup,False
neer_dosa,Water,2.0,cups (approx.),False
neer_dosa,Salt,-1.0,to taste,False
neer_dosa,Grated Coconut (optional),2.0,tbsp,False
wild_greens_sambar,Mixed Foraged Greens (Soppu),4.0,"cups, chopped",False
wild_greens_sambar,Toor Dal (Pigeon Peas),0.5,cup,False
wild_greens_sambar,Onion,1.0,"small, chopped",False
wild_greens_sambar,Garlic,3.0,cloves,False
wild_greens_sambar,Green Chilies,2.0,,False
wild_greens_sambar,Turmeric Powder,0.5,tsp,False
wild_greens_sambar,Salt,-1.0,to taste,False
wild_greens_stir_fry,"Mixed Foraged Greens (e.g., Ponnangenni, Mullencheera)",4.0,"cups, chopped",True
wild_greens_stir_fry,Grated Coconut,0.25,cup,False
wild_greens_stir_fry,Garlic,2.0,"cloves, crushed",False
wild_greens_stir_fry,Green Chilies,1.0,,False
wild_greens_stir_fry,Coconut Oil,1.0,tbsp,False
wild_greens_stir_fry,Salt,-1.0,to taste,False
bamboo_rice_pudding,Bamboo Rice,0.5,cup,False
bamboo_rice_pudding,Coconut Milk,2.0,cups,False
bamboo_rice_pudding,Jaggery (Gur),0.75,"cup, grated",False
bamboo_rice_pudding,Cardamom Powder,0.5,tsp,False
bamboo_rice_pudding,Ghee,1.0,tbsp,False
foraged_mushroom_fry,Edible Wild Mushrooms,250.0,"g, cleaned",True
